Distance (µm),Fe Wt%,Cr Wt%,Ni Wt%,Mn Wt%,Pb Wt%
0.01533542,92.65225,6.045008,0,1.231172,0.07157
0.015557672,91.91651,4.090959,0,1.777067,2.21546
0.015779925,82.82635,8.935182,0.696019,2.609886,4.932567
0.016002177,92.62457,2.587832,0.88869,1.689011,2.209896
0.01622443,93.80508,3.494946,0.032684,1.096264,1.571032
0.016446682,90.91074,7.435417,1.241037,0.412803,0
0.016668935,90.67776,8.309999,0,0,1.012235
0.016891187,83.98664,9.840385,0,3.580858,2.592113
0.017113439,91.96024,7.141811,0.556042,0.308148,0.033759
0.017335692,91.79021,5.356531,0.760234,1.766324,0.326699
0.017557944,92.48046,7.347079,0,0.172462,0
0.017780197,88.72139,9.555982,1.722631,0,0
0.018002449,92.03248,7.967521,0,0,0
0.018224702,88.62765,9.089231,0,0,2.283123
0.018446954,89.53204,10.46795,0,0,0
0.018669207,86.79166,9.715054,0.080283,3.413006,0
0.018891459,92.39788,7.47388,0,0,0.128242
0.019113712,90.08971,7.70244,0.928795,0,1.279048
0.019335964,92.44291,7.296096,0,0.260992,0
0.019558216,92.07101,7.928992,0,0,0
0.019780469,90.91706,7.740527,0.235827,0,1.106586
0.020002721,89.19256,9.321568,1.485876,0,0
0.020224974,92.95113,5.723739,1.325126,0,0
0.020447226,87.98584,10.0071,0,0.082258,1.924802
0.020669479,84.38693,10.49525,0,0,5.117816
0.020891731,91.02885,6.772334,0,0,2.198819
0.021113984,94.3478,5.097933,0,0,0.554269
0.021336236,86.90986,11.07175,1.515716,0,0.50268
0.021558489,94.29684,3.357758,0,0.665787,1.67962
0.021780741,87.7255,9.597971,1.193097,1.483427,0
0.022002994,85.52921,5.020001,0,2.911056,6.539733
0.022225246,88.56544,5.677317,2.454418,1.728082,1.574738
0.022447498,88.59187,8.037893,2.518013,0.852228,0
0.022669751,90.55245,7.961724,0,0.426261,1.059561
0.022892003,87.09392,6.483001,0.004392,0,6.418688
0.023114256,94.75163,3.46444,0,1.783925,0
0.023336508,87.92073,6.008119,1.322801,0.581053,4.1673
0.023558761,84.11,11.66106,0,0,4.228946
0.023781013,91.57983,5.161777,2.925413,0,0.332985
0.024003266,92.45442,7.545579,0,0,0
0.024225518,93.56003,6.308954,0,0.131018,0
0.024447771,92.72704,4.777027,2.016697,0.479231,0
0.024670023,92.76422,7.23578,0,0,0
0.024892276,90.3393,8.710772,0,0,0.949925
0.025114528,89.32014,7.211736,0,0,3.468122
0.02533678,90.30991,8.584264,0,1.105826,0
0.025559033,91.14684,7.186703,0,0.28137,1.385082
0.025781285,97.90396,1.73983,0,0.356211,0
0.026003538,90.56294,7.77356,0,0,1.663497
0.02622579,85.20554,8.380186,1.971272,0.304119,4.13888
0.026448043,92.35049,6.738676,0,0.910829,0
0.026670295,90.09604,8.721824,0,0.463084,0.719055
0.026892548,86.91026,10.52828,0.024954,1.045502,1.490995
0.0271148,89.375,5.214862,0.689408,0,4.720731
0.027337053,90.95453,7.038589,0,2.006886,0
0.027559305,93.23646,6.763539,0,0,0
0.027781558,89.20911,10.79089,0,0,0
0.02800381,83.26003,6.958066,3.285356,1.22177,5.274776
0.028226062,91.34778,5.227495,1.63093,1.793795,0
0.028448315,87.75628,8.818262,0,1.074527,2.35093
0.028670567,91.20851,5.080136,0,0,3.711355
0.02889282,92.07086,7.680467,0,0.248672,0
0.029115072,87.52232,7.104336,0.149793,5.223547,0
0.029337325,89.19165,8.910349,0,1.898002,0
0.029559577,89.08761,7.696547,0,0.328823,2.887019
0.02978183,88.59621,11.37924,0,0,0.024543
0.030004082,88.16923,6.005302,0,0.178308,5.647163
0.030226335,85.96571,9.018287,0,0,5.016005
0.030448587,89.99339,7.010595,0,0.834938,2.161073
0.030670839,95.1122,2.644473,0,1.940699,0.302628
0.030893092,83.06236,15.0119,0,0,1.92575
0.031115344,92.75132,6.247838,1.000843,0,0
0.031337597,89.63676,8.45391,1.909336,0,0
0.031559849,90.66924,5.765926,1.959313,1.605516,0
0.031782102,91.68063,5.97819,0,1.073297,1.267882
0.032004354,87.29664,6.726903,2.201748,0,3.774714
0.032226607,87.79189,12.20811,0,0,0
0.032448859,88.15063,6.658393,0,5.19098,0
0.032671112,89.67992,10.32008,0,0,0
0.032893364,85.98151,9.974523,0,0,4.043961
0.033115617,90.01371,9.35232,0.476488,0,0.157482
0.033337869,90.80071,8.29124,0,0.908046,0
0.033560121,90.31308,9.68692,0,0,0
0.033782374,89.63808,7.377214,0,0,2.98471
0.034004626,93.24883,6.751174,0,0,0
0.034226879,89.09843,8.120706,0.004897,1.386431,1.389531
0.034449131,89.91898,7.881434,1.670984,0,0.5286
0.034671384,90.63466,6.873376,0,1.142788,1.349176
0.034893636,92.04568,4.214332,0.327304,3.412691,0
0.035115889,88.81785,7.894387,0.851095,0.985851,1.450819
0.035338141,85.79073,11.75359,2.278219,0,0.177463
0.035560394,88.34053,7.069298,0.260287,1.493449,2.836438
0.035782646,88.65964,7.644321,0,2.175811,1.520233
0.036004899,88.50766,7.606645,1.592518,0.352091,1.941087
0.036227151,87.34443,6.840054,0,1.097626,4.717888
0.036449403,89.62875,6.629035,0,3.23212,0.510099
0.036671656,84.6824,6.571581,0,0,8.746019
0.036893908,90.72909,6.582356,0,2.688558,0
0.037116161,96.05923,3.335149,0.319672,0,0.285947
0.037338413,89.12644,3.995303,0,1.370162,5.508096
0.037560666,88.80091,8.295383,2.903704,0,0
0.037782918,88.94321,11.05679,0,0,0
0.038005171,92.40853,6.891356,0,0.700115,0
0.038227423,89.23706,6.04936,0,0.115372,4.598211
0.038449676,90.27932,3.130952,3.556921,1.963891,1.068918
0.038671928,90.38898,6.124009,0.133778,1.191557,2.161683
0.038894181,94.4858,4.789661,0,0.724535,0
0.039116433,93.94235,6.057647,0,0,0
0.039338685,91.45195,7.316208,0,0,1.231839
0.039560938,93.81015,4.245919,0,1.943928,0
0.03978319,94.58565,4.051193,0,1.363158,0
0.040005443,89.15081,6.947906,0,3.339345,0.561938
0.040227695,91.19281,3.451753,0,0,5.355438
0.040449948,83.6925,10.78061,0,0,5.52688
0.0406722,86.14981,13.16179,0,0,0.688396
0.040894453,90.32039,6.717938,0,0.387628,2.574043
0.041116705,89.89093,2.891311,3.431528,1.340156,2.446072
0.041338958,95.27139,4.728606,0,0,0
0.04156121,94.5293,3.097583,2.373121,0,0
0.041783463,86.97066,8.294028,4.735311,0,0
0.042005715,85.08275,8.192325,0.947602,4.332773,1.444551
0.042227967,86.59531,11.29955,0,1.022724,1.082408
0.04245022,86.81097,9.930329,0,0,3.258698
0.042672472,88.20707,11.68639,0.106541,0,0
0.042894725,93.89084,3.396374,0.314704,1.737421,0.660661
0.043116977,96.6106,2.295092,0,0,1.094311
0.04333923,93.20699,5.466136,0,0,1.326869
0.043561482,85.78617,6.200745,0,2.104658,5.908423
0.043783735,91.87542,8.103604,0,0,0.020979
0.044005987,87.23612,9.64508,1.042424,2.076375,0
0.04422824,87.29218,8.158417,0,1.57548,2.973931
0.044450492,92.25803,6.638006,0,1.103958,0
0.044672744,85.29231,8.528779,0,0,6.17891
0.044894997,82.74832,10.39313,1.817611,3.008782,2.032157
0.045117249,84.73515,9.830161,0.501502,2.04379,2.889395
0.045339502,88.59452,8.126033,2.511364,0,0.768082
0.045561754,91.42069,4.60972,1.742987,2.226597,0
0.045784007,91.47807,4.074678,0.43979,3.041928,0.965533
0.046006259,86.03675,8.555782,0.649869,3.304301,1.453298
0.046228512,91.05402,7.977978,0,0.308008,0.659995
0.046450764,85.64192,11.72056,0.13297,2.504543,0
0.046673017,95.99287,3.823147,0.183988,0,0
0.046895269,91.04597,7.993725,0,0.561092,0.399214
0.047117522,89.23875,9.881877,0.376715,0,0.502665
0.047339774,88.49585,10.80703,0,0.697118,0
0.047562026,92.87788,5.018268,1.050767,0.355797,0.697282
0.047784279,88.76886,9.534729,0,1.696411,0
0.048006531,91.78858,5.11658,0,3.031723,0.063114
0.048228784,85.63948,10.72605,0.953196,0.078158,2.603115
0.048451036,88.67751,11.3225,0,0,0
0.048673289,90.47007,5.429679,0,0,4.10025
0.048895541,94.83155,5.168449,0,0,0
0.049117794,89.99754,9.513274,0,0.489184,0
0.049340046,91.71844,7.390448,0,0,0.891107
0.049562299,89.34719,7.758453,0,0.850065,2.044288
0.049784551,94.01106,4.564314,1.424627,0,0
0.050006804,91.31239,6.363504,0,2.324111,0
0.050229056,82.71577,11.15727,0,0,6.126961
0.050451308,90.80079,4.805554,0,2.534275,1.859384
0.050673561,89.46884,6.561316,1.684084,0.511767,1.773989
0.050895813,89.09241,8.215878,0.573189,2.118526,0
0.051118066,92.53474,7.465264,0,0,0
0.051340318,91.28835,6.901824,1.595868,0.213966,0
0.051562571,90.57646,8.778338,0.197337,0.401724,0.04614
0.051784823,95.0196,4.286069,0,0,0.694327
0.052007076,89.12674,8.11635,0.92539,0.028075,1.803448
0.052229328,92.93385,3.979138,2.51324,0,0.573781
0.052451581,84.54866,6.764666,4.219667,2.279729,2.187281
0.052673833,91.69713,7.114871,0,1.187999,0
0.052896086,94.8299,4.355635,0,0.814463,0
0.053118338,89.19363,8.017765,0,0,2.788606
0.05334059,92.92508,2.329968,0,0.964009,3.780946
0.053562843,93.90932,6.090684,0,0,0
0.053785095,89.83424,8.886955,0,1.278812,0
0.054007348,92.05476,7.430246,0,0,0.514996
0.0542296,88.93885,11.06115,0,0,0
0.054451853,88.01282,10.15453,0,0.008969,1.82369
0.054674105,90.65952,6.867826,0,2.472648,0
0.054896358,88.34241,9.337131,2.284428,0.036025,0
0.05511861,90.48782,4.676169,0,2.504934,2.331075
0.055340863,93.18575,5.777833,0,1.036417,0
0.055563115,88.3519,10.9673,0.162863,0,0.517939
0.055785367,91.34397,6.147622,2.253306,0.255104,0
0.05600762,89.73902,10.26097,0,0,0
0.056229872,91.13689,6.425291,0.795811,0.457594,1.184416
0.056452125,86.777,5.338256,0.491886,1.831311,5.561547
0.056674377,91.79018,5.406891,2.802932,0,0
0.05689663,86.8332,9.497147,0.63364,0,3.036015
0.057118882,93.13877,5.565965,0,0,1.295262
0.057341135,87.84932,9.210825,0.665561,0.437981,1.836311
0.057563387,91.66264,6.8322,0.468539,0,1.036628
0.05778564,92.2524,6.784659,0.812793,0.150141,0
0.058007892,89.62234,8.24075,1.884891,0,0.252014
0.058230145,94.99957,1.239776,0,0,3.760651
0.058452397,84.80812,10.37788,0,2.015568,2.798424
0.058674649,87.76474,9.253273,2.981986,0,0
0.058896902,85.99365,10.85723,0,0,3.149114
0.059119154,92.65162,6.358809,0,0.98957,0
0.059341407,87.83771,10.97331,1.188975,0,0
0.059563659,83.94656,11.92171,0.398341,2.464468,1.268917
0.059785912,82.09322,12.46297,0,0,5.44381
0.060008164,88.2709,8.844843,0,1.844748,1.039508
0.060230417,93.62642,6.373582,0,0,0
0.060452669,87.12139,11.7726,0,0.12789,0.978113
0.060674922,90.7259,7.773994,0,0,1.500111
0.060897174,90.93235,6.662339,0.744625,1.660687,0
0.061119427,85.74993,14.11503,0,0,0.135038
0.061341679,93.07778,5.593965,0,0.195944,1.13231
0.061563931,80.94983,7.081931,0.501051,1.371901,10.09529
0.061786184,91.80247,6.491151,0,0.620241,1.086141
0.062008436,92.11819,6.260053,0.199426,1.42233,0
0.062230689,91.86485,2.928538,0.435919,0,4.770699
0.062452941,86.25267,10.77899,0.630217,2.338128,0
0.062675194,86.2955,10.78738,0,0.620847,2.296267
0.062897446,88.39631,8.6146,2.813562,0.175529,0
0.063119699,89.74934,10.25066,0,0,0
0.063341951,88.79581,6.580705,0,0,4.623485
0.063564204,93.81715,6.182847,0,0,0
0.063786456,88.2387,3.61003,7.241987,0,0.90928
0.064008709,81.7373,14.14587,2.142051,0.496168,1.478611
0.064230961,91.7776,6.266888,0,1.955511,0
0.064453213,92.41701,6.145322,0,1.437672,0
0.064675466,89.27238,10.5834,0,0,0.144218
0.064897718,89.94007,6.599832,0,2.564494,0.895606
0.065119971,85.38419,6.638899,4.381349,2.917846,0.677716
0.065342223,83.23497,12.86164,0,0,3.903392
0.065564476,90.76966,7.218804,0,2.011537,0
0.065786728,84.19467,10.39207,0,1.833062,3.580198
0.066008981,82.56469,13.53651,1.161138,2.0047,0.732966
