====== H (10) into Layer 1                      =======
        SRIM-2008.04
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 3000 keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     5.E+05 A ;
  Layer # 1- Density = 8.630E22 atoms/cm3 = 7.98 g/cm3
  Layer # 1- Fe = 68.3 Atomic Percent = 68.5 Mass Percent
  Layer # 1- Ni = 9.70 Atomic Percent = 10.2 Mass Percent
  Layer # 1- Cr = 17.5 Atomic Percent = 16.3 Mass Percent
  Layer # 1- Mo = 1.27 Atomic Percent = 2.18 Mass Percent
  Layer # 1- Cu = .330 Atomic Percent = .376 Mass Percent
  Layer # 1- Mn = 1.81 Atomic Percent = 1.78 Mass Percent
  Layer # 1- Si = 1.04 Atomic Percent = .524 Mass Percent
====================================================================
 Total Ions calculated =80970.00
 Total Target Vacancies     = 17 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
500001.E-02  1244.91E-09  2134.79E-09  
100000.E-01  4596.76E-09  1161.67E-08  
150000.E-01  4302.83E-09  8701.08E-09  
200000.E-01  4497.96E-09  7257.35E-09  
250000.E-01  5206.87E-09  1051.38E-08  
300000.E-01  5320.49E-09  8368.63E-09  
350000.E-01  5234.04E-09  1100.25E-08  
400000.E-01  5048.78E-09  8174.94E-09  
450000.E-01  5251.33E-09  1279.72E-08  
500000.E-01  5364.95E-09  1422.27E-08  
550000.E-01  5441.52E-09  9593.12E-09  
600000.E-01  5421.76E-09  9995.73E-09  
650000.E-01  5579.84E-09  1037.64E-08  
700000.E-01  5673.71E-09  1508.82E-08  
750000.E-01  5797.21E-09  1610.59E-08  
800000.E-01  5876.25E-09  1162.01E-08  
850000.E-01  5839.20E-09  1417.06E-08  
900000.E-01  6039.27E-09  1007.56E-08  
950000.E-01  6145.49E-09  1327.57E-08  
100000.E+00  6125.73E-09  1008.26E-08  
105000.E+00  6241.82E-09  1326.52E-08  
110000.E+00  6214.65E-09  1211.10E-08  
115000.E+00  6530.81E-09  1629.98E-08  
120000.E+00  6301.10E-09  1449.16E-08  
125000.E+00  6560.45E-09  1760.99E-08  
130000.E+00  6671.61E-09  1378.58E-08  
135000.E+00  6864.27E-09  1485.60E-08  
140000.E+00  6651.85E-09  1201.33E-08  
145000.E+00  6955.66E-09  1632.68E-08  
150000.E+00  6834.63E-09  1657.93E-08  
155000.E+00  7012.47E-09  1598.88E-08  
160000.E+00  7625.05E-09  1614.55E-08  
165000.E+00  7484.25E-09  1893.31E-08  
170000.E+00  7373.10E-09  1953.85E-08  
175000.E+00  7652.22E-09  1421.07E-08  
180000.E+00  7657.16E-09  1844.88E-08  
185000.E+00  7948.62E-09  1847.79E-08  
190000.E+00  7968.38E-09  2196.05E-08  
195000.E+00  8304.31E-09  2096.17E-08  
200000.E+00  8341.36E-09  1474.48E-08  
205000.E+00  8635.30E-09  1785.53E-08  
210000.E+00  8929.23E-09  1750.88E-08  
215000.E+00  9149.07E-09  2141.69E-08  
220000.E+00  9334.32E-09  2070.43E-08  
225000.E+00  9393.60E-09  1814.55E-08  
230000.E+00  9813.51E-09  1906.75E-08  
235000.E+00  9976.53E-09  2230.68E-08  
240000.E+00  1008.52E-08  1832.44E-08  
245000.E+00  1086.82E-08  1864.27E-08  
250000.E+00  1088.06E-08  1982.04E-08  
255000.E+00  1133.51E-08  2616.79E-08  
260000.E+00  1173.77E-08  2295.40E-08  
265000.E+00  1231.81E-08  2224.54E-08  
270000.E+00  1253.06E-08  2699.52E-08  
275000.E+00  1304.68E-08  2541.58E-08  
280000.E+00  1385.95E-08  2437.88E-08  
285000.E+00  1443.50E-08  2989.88E-08  
290000.E+00  1536.62E-08  3222.84E-08  
295000.E+00  1664.57E-08  3176.89E-08  
300000.E+00  1777.20E-08  3267.67E-08  
305000.E+00  1917.99E-08  3490.82E-08  
310000.E+00  2059.53E-08  3881.19E-08  
315000.E+00  2242.56E-08  4552.93E-08  
320000.E+00  2491.05E-08  4393.82E-08  
325000.E+00  2904.53E-08  4603.89E-08  
330000.E+00  3473.63E-08  5518.85E-08  
335000.E+00  4817.34E-08  6632.45E-08  
340000.E+00  7795.48E-08  9231.48E-08  
345000.E+00  1378.46E-07  1214.69E-07  
350000.E+00  2047.72E-07  1394.37E-07  
