====== H (10) into Layer 1                      =======
        SRIM-2008.04
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 3000 keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     5.E+05 A ;
  Layer # 1- Density = 8.378E22 atoms/cm3 = 7.98 g/cm3
  Layer # 1- Fe = 3.12 Atomic Percent = 3.75 Mass Percent
  Layer # 1- Ni = 31.9 Atomic Percent = 32.6 Mass Percent
  Layer # 1- Cr = 51.0 Atomic Percent = 46.2 Mass Percent
  Layer # 1- Si = 1.65 Atomic Percent = .809 Mass Percent
  Layer # 1- Mn = 5.58 Atomic Percent = 5.34 Mass Percent
  Layer # 1- Mo = 6.64 Atomic Percent = 11.1 Mass Percent
====================================================================
 Total Ions calculated =42908.00
 Total Target Vacancies     = 17 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
365000.E+00  1896.52E-07  1125.76E-07  
370000.E+00  1267.78E-07  6233.11E-08  
375000.E+00  5073.65E-08  2267.87E-08  
380000.E+00  1375.50E-08  5846.08E-09  
385000.E+00  2442.43E-09  1050.88E-09  
390000.E+00  8856.16E-11  8448.53E-12  
395000.E+00  9322.27E-12  4807.36E-12  
400000.E+00  0000.00E+00  0000.00E+00  
405000.E+00  0000.00E+00  0000.00E+00  
410000.E+00  0000.00E+00  0000.00E+00  
415000.E+00  0000.00E+00  0000.00E+00  
420000.E+00  0000.00E+00  0000.00E+00  
425000.E+00  0000.00E+00  0000.00E+00  
430000.E+00  0000.00E+00  0000.00E+00  
435000.E+00  0000.00E+00  0000.00E+00  
440000.E+00  0000.00E+00  0000.00E+00  
445000.E+00  0000.00E+00  0000.00E+00  
450000.E+00  0000.00E+00  0000.00E+00  
455000.E+00  0000.00E+00  0000.00E+00  
460000.E+00  0000.00E+00  0000.00E+00  
465000.E+00  0000.00E+00  0000.00E+00  
470000.E+00  0000.00E+00  0000.00E+00  
475000.E+00  0000.00E+00  0000.00E+00  
480000.E+00  0000.00E+00  0000.00E+00  
485000.E+00  0000.00E+00  0000.00E+00  
490000.E+00  0000.00E+00  0000.00E+00  
495000.E+00  0000.00E+00  0000.00E+00  
500000.E+00  0000.00E+00  0000.00E+00  

 To convert to Energy Lo- multiply by Average Binding Energy =  2.833333  eV/Vacancy
