Row_by_Pixel,Uncorroded_Depth_by_Pixel,Thickness_by_Pixel,x_left_edge,x_right_edge,Corrosion_Depth_Ratio
0,0,130,107,236,0.000
1,256,259,107,365,0.012
2,255,259,107,365,0.015
3,254,259,107,365,0.019
4,254,259,107,365,0.019
5,253,259,107,365,0.023
6,253,259,107,365,0.023
7,253,259,107,365,0.023
8,253,259,107,365,0.023
9,253,259,107,365,0.023
10,253,259,107,365,0.023
11,253,259,107,365,0.023
12,253,259,107,365,0.023
13,253,259,107,365,0.023
14,253,259,107,365,0.023
15,252,258,108,365,0.023
16,253,258,108,365,0.019
17,255,259,107,365,0.015
18,256,259,107,365,0.012
19,0,259,107,365,0.000
20,0,259,107,365,0.000
21,0,259,107,365,0.000
22,0,258,107,364,0.000
23,0,258,107,364,0.000
24,0,258,107,364,0.000
25,0,258,107,364,0.000
26,0,258,107,364,0.000
27,0,259,106,364,0.000
28,0,259,106,364,0.000
29,0,259,106,364,0.000
30,0,259,106,364,0.000
31,0,259,106,364,0.000
32,0,259,106,364,0.000
33,0,259,106,364,0.000
34,0,259,106,364,0.000
35,0,259,106,364,0.000
36,0,259,106,364,0.000
37,0,259,106,364,0.000
38,0,259,106,364,0.000
39,0,259,106,364,0.000
40,0,259,106,364,0.000
41,0,259,106,364,0.000
42,256,259,106,364,0.012
43,256,259,106,364,0.012
44,257,259,106,364,0.008
45,258,259,106,364,0.004
46,0,259,106,364,0.000
47,0,259,106,364,0.000
48,0,259,106,364,0.000
49,0,259,106,364,0.000
50,0,259,106,364,0.000
51,0,259,106,364,0.000
52,0,259,106,364,0.000
53,0,259,106,364,0.000
54,0,259,106,364,0.000
55,0,259,106,364,0.000
56,0,259,106,364,0.000
57,0,259,106,364,0.000
58,0,259,106,364,0.000
59,0,259,106,364,0.000
60,0,259,106,364,0.000
61,0,259,106,364,0.000
62,0,259,106,364,0.000
63,0,259,106,364,0.000
64,0,258,106,363,0.000
65,0,258,106,363,0.000
66,0,258,106,363,0.000
67,0,258,106,363,0.000
68,0,258,106,363,0.000
69,0,258,106,363,0.000
70,0,256,108,363,0.000
71,0,258,106,363,0.000
72,0,258,106,363,0.000
73,0,257,107,363,0.000
74,0,256,108,363,0.000
75,0,257,107,363,0.000
76,0,258,106,363,0.000
77,0,258,106,363,0.000
78,0,258,106,363,0.000
79,0,258,106,363,0.000
80,0,258,106,363,0.000
81,258,259,105,363,0.004
82,258,259,105,363,0.004
83,258,259,105,363,0.004
84,258,259,105,363,0.004
85,0,259,105,363,0.000
86,0,258,106,363,0.000
87,257,258,106,363,0.004
88,256,257,107,363,0.004
89,255,256,108,363,0.004
90,256,257,107,363,0.004
91,0,258,106,363,0.000
92,0,259,105,363,0.000
93,0,259,105,363,0.000
94,0,259,105,363,0.000
95,0,258,106,363,0.000
96,256,257,107,363,0.004
97,0,257,107,363,0.000
98,0,256,108,363,0.000
99,0,259,105,363,0.000
100,0,259,105,363,0.000
101,0,259,105,363,0.000
102,0,258,106,363,0.000
103,0,258,106,363,0.000
104,257,258,106,363,0.004
105,0,258,105,362,0.000
106,0,258,105,362,0.000
107,0,258,105,362,0.000
108,0,258,105,362,0.000
