Distance (µm),Cr Wt%,Mn Wt%,Fe Wt%,Pb Wt%,Ni Wt%,
0,0,0,9.031216,90.96879,0,
0.00029118433551329,1.813377,0.089255,6.372641,91.72472,0,
0.000582368671026618,1.052723,0,7.008365,91.93891,0,
0.000873553006539908,0.021735,0.040211,1.665119,98.27293,0,
0.0011647373420532,0,0,5.384123,94.61588,0,
0.00145592167756653,0,0,4.594521,95.40548,0,
0.00174710601307982,0,0,1.134184,98.86581,0,
0.00203829034859311,0.85442,0,4.840722,94.30486,0,
0.00232947468410644,8.264894,0,5.009889,86.72522,0,
0.00262065901961973,0,0,4.218143,95.78186,0,
0.00291184335513302,0.173504,0,6.023342,93.80315,0,
0.00320302769064631,0.796567,0,4.687201,94.51624,0,
0.00349421202615963,1.893547,0,6.677155,91.4293,0,
0.00378539636167292,2.682651,0.578389,1.722183,95.01678,0,
0.00407658069718621,0,0.638891,10.32771,89.0334,0,
0.00436776503269954,0,0.126753,1.52392,98.34933,0,
0.00465894936821283,1.930694,0,3.716969,94.35234,0,
0.00495013370372612,0.290766,0,7.441582,92.26765,0,
0.00524131803923942,0.782367,0.879646,4.411174,93.92681,0,
0.00553250237475271,0.240393,0,5.636729,94.12288,0,
0.005823686710266,0.592515,1.021141,1.78462,96.60172,0,
0.00611487104577932,0,0.194354,6.724832,93.08082,0,
0.00640605538129261,3.52415,1.841589,5.345437,89.28883,0,
0.00669723971680591,4.833589,0.339492,6.071001,88.75592,0,
0.00698842405231923,1.225527,0,5.622689,93.15179,0,
0.00727960838783252,2.868196,1.245201,5.919836,89.96677,0,
0.00757079272334581,0,0,5.150271,94.84973,0,
0.00786197705885914,0,0,2.307003,97.693,0,
0.00815316139437243,0,0,1.70826,98.29174,0,
0.00844434572988572,0.93557,1.316504,6.323219,91.42471,0,
0.00873553006539901,0,1.0636,3.012554,95.92384,0,
0.00902671440091234,2.264901,2.49447,2.889069,92.35156,0,
0.00931789873642563,0.675485,1.729193,2.753553,94.84177,0,
0.00960908307193892,0,2.10609,2.74472,95.14919,0,
0.00990026740745225,1.714589,0,5.754964,92.53045,0,
0.0101914517429655,1.815456,0,4.307938,93.87661,0,
0.0104826360784788,0,0.877945,3.663607,95.45845,0,
