Row_by_Pixel,Corrosion_Depth_Ratio,,prob.,cumulative prob
0,0,,0.000104954,0.000104954
1,0,,,0.000209908
2,0,,,0.000314861
3,0,,,0.000419815
4,0,,,0.000524769
5,0,,,0.000629723
6,0,,,0.000734677
7,0,,,0.000839631
8,0,,,0.000944584
9,0,,,0.001049538
10,0,,,0.001154492
11,0,,,0.001259446
12,0,,,0.0013644
13,0,,,0.001469353
14,0,,,0.001574307
15,0,,,0.001679261
16,0,,,0.001784215
17,0,,,0.001889169
18,0,,,0.001994123
19,0,,,0.002099076
20,0,,,0.00220403
21,0,,,0.002308984
22,0,,,0.002413938
23,0,,,0.002518892
24,0,,,0.002623846
25,0,,,0.002728799
26,0,,,0.002833753
27,0,,,0.002938707
28,0,,,0.003043661
29,0,,,0.003148615
30,0,,,0.003253568
31,0,,,0.003358522
32,0,,,0.003463476
33,0,,,0.00356843
34,0,,,0.003673384
35,0,,,0.003778338
36,0,,,0.003883291
37,0,,,0.003988245
38,0,,,0.004093199
39,0,,,0.004198153
40,0,,,0.004303107
41,0,,,0.00440806
42,0,,,0.004513014
43,0,,,0.004617968
44,0,,,0.004722922
45,0,,,0.004827876
46,0,,,0.00493283
47,0,,,0.005037783
48,0,,,0.005142737
49,0,,,0.005247691
50,0,,,0.005352645
51,0,,,0.005457599
52,0,,,0.005562552
53,0,,,0.005667506
54,0,,,0.00577246
55,0,,,0.005877414
56,0,,,0.005982368
57,0,,,0.006087322
58,0,,,0.006192275
59,0,,,0.006297229
60,0,,,0.006402183
61,0,,,0.006507137
62,0,,,0.006612091
63,0,,,0.006717045
64,0,,,0.006821998
65,0,,,0.006926952
66,0,,,0.007031906
67,0,,,0.00713686
68,0,,,0.007241814
69,0,,,0.007346767
70,0,,,0.007451721
71,0,,,0.007556675
72,0,,,0.007661629
73,0,,,0.007766583
74,0,,,0.007871537
75,0,,,0.00797649
76,0,,,0.008081444
77,0,,,0.008186398
78,0,,,0.008291352
79,0,,,0.008396306
80,0,,,0.008501259
81,0,,,0.008606213
82,0,,,0.008711167
83,0,,,0.008816121
84,0,,,0.008921075
85,0,,,0.009026029
86,0,,,0.009130982
87,0,,,0.009235936
88,0,,,0.00934089
89,0,,,0.009445844
90,0,,,0.009550798
91,0,,,0.009655751
92,0,,,0.009760705
93,0,,,0.009865659
94,0,,,0.009970613
95,0,,,0.010075567
96,0,,,0.010180521
97,0,,,0.010285474
98,0,,,0.010390428
99,0,,,0.010495382
100,0,,,0.010600336
101,0,,,0.01070529
102,0,,,0.010810243
103,0,,,0.010915197
104,0,,,0.011020151
105,0,,,0.011125105
106,0,,,0.011230059
107,0,,,0.011335013
108,0,,,0.011439966
109,0,,,0.01154492
110,0,,,0.011649874
111,0,,,0.011754828
112,0,,,0.011859782
113,0,,,0.011964736
114,0,,,0.012069689
115,0,,,0.012174643
116,0,,,0.012279597
117,0,,,0.012384551
118,0,,,0.012489505
119,0,,,0.012594458
120,0,,,0.012699412
121,0,,,0.012804366
122,0,,,0.01290932
123,0,,,0.013014274
124,0,,,0.013119228
125,0,,,0.013224181
126,0,,,0.013329135
127,0,,,0.013434089
128,0,,,0.013539043
129,0,,,0.013643997
130,0,,,0.01374895
131,0,,,0.013853904
132,0,,,0.013958858
133,0,,,0.014063812
134,0,,,0.014168766
135,0,,,0.01427372
136,0,,,0.014378673
137,0,,,0.014483627
138,0,,,0.014588581
139,0,,,0.014693535
140,0,,,0.014798489
141,0,,,0.014903442
142,0,,,0.015008396
143,0,,,0.01511335
144,0,,,0.015218304
145,0,,,0.015323258
146,0,,,0.015428212
147,0,,,0.015533165
148,0,,,0.015638119
149,0,,,0.015743073
150,0,,,0.015848027
151,0,,,0.015952981
152,0,,,0.016057935
153,0,,,0.016162888
154,0,,,0.016267842
155,0,,,0.016372796
156,0,,,0.01647775
157,0,,,0.016582704
158,0,,,0.016687657
159,0,,,0.016792611
160,0,,,0.016897565
161,0,,,0.017002519
162,0,,,0.017107473
163,0,,,0.017212427
164,0,,,0.01731738
165,0,,,0.017422334
166,0,,,0.017527288
167,0,,,0.017632242
168,0,,,0.017737196
169,0,,,0.017842149
170,0,,,0.017947103
171,0,,,0.018052057
172,0,,,0.018157011
173,0,,,0.018261965
174,0,,,0.018366919
175,0,,,0.018471872
176,0,,,0.018576826
177,0,,,0.01868178
178,0,,,0.018786734
179,0,,,0.018891688
180,0,,,0.018996641
181,0,,,0.019101595
182,0,,,0.019206549
183,0,,,0.019311503
184,0,,,0.019416457
185,0,,,0.019521411
186,0,,,0.019626364
187,0,,,0.019731318
188,0,,,0.019836272
189,0,,,0.019941226
190,0,,,0.02004618
191,0,,,0.020151134
192,0,,,0.020256087
193,0,,,0.020361041
194,0,,,0.020465995
195,0,,,0.020570949
196,0,,,0.020675903
197,0,,,0.020780856
198,0,,,0.02088581
199,0,,,0.020990764
200,0,,,0.021095718
201,0,,,0.021200672
202,0,,,0.021305626
203,0,,,0.021410579
204,0,,,0.021515533
205,0,,,0.021620487
206,0,,,0.021725441
207,0,,,0.021830395
208,0,,,0.021935348
209,0,,,0.022040302
210,0,,,0.022145256
211,0,,,0.02225021
212,0,,,0.022355164
213,0,,,0.022460118
214,0,,,0.022565071
215,0,,,0.022670025
216,0,,,0.022774979
217,0,,,0.022879933
218,0,,,0.022984887
219,0,,,0.02308984
220,0,,,0.023194794
221,0,,,0.023299748
222,0,,,0.023404702
223,0,,,0.023509656
224,0,,,0.02361461
225,0,,,0.023719563
226,0,,,0.023824517
227,0,,,0.023929471
228,0,,,0.024034425
229,0,,,0.024139379
230,0,,,0.024244332
231,0,,,0.024349286
232,0,,,0.02445424
233,0,,,0.024559194
234,0,,,0.024664148
235,0,,,0.024769102
236,0,,,0.024874055
237,0,,,0.024979009
238,0,,,0.025083963
239,0,,,0.025188917
240,0,,,0.025293871
241,0,,,0.025398825
242,0,,,0.025503778
243,0,,,0.025608732
244,0,,,0.025713686
245,0,,,0.02581864
246,0,,,0.025923594
247,0,,,0.026028547
248,0,,,0.026133501
249,0,,,0.026238455
250,0,,,0.026343409
251,0,,,0.026448363
252,0,,,0.026553317
253,0,,,0.02665827
254,0,,,0.026763224
255,0,,,0.026868178
256,0,,,0.026973132
257,0,,,0.027078086
258,0,,,0.027183039
259,0,,,0.027287993
260,0,,,0.027392947
261,0,,,0.027497901
262,0,,,0.027602855
263,0,,,0.027707809
264,0,,,0.027812762
265,0,,,0.027917716
266,0,,,0.02802267
267,0,,,0.028127624
268,0,,,0.028232578
269,0,,,0.028337531
270,0,,,0.028442485
271,0,,,0.028547439
272,0,,,0.028652393
273,0,,,0.028757347
274,0,,,0.028862301
275,0,,,0.028967254
276,0,,,0.029072208
277,0,,,0.029177162
278,0,,,0.029282116
279,0,,,0.02938707
280,0,,,0.029492024
281,0,,,0.029596977
282,0,,,0.029701931
283,0,,,0.029806885
284,0,,,0.029911839
285,0,,,0.030016793
286,0,,,0.030121746
287,0,,,0.0302267
288,0,,,0.030331654
289,0,,,0.030436608
290,0,,,0.030541562
291,0,,,0.030646516
292,0,,,0.030751469
293,0,,,0.030856423
294,0,,,0.030961377
295,0,,,0.031066331
296,0,,,0.031171285
297,0,,,0.031276238
298,0,,,0.031381192
299,0,,,0.031486146
300,0,,,0.0315911
301,0,,,0.031696054
302,0,,,0.031801008
303,0,,,0.031905961
304,0,,,0.032010915
