Row_by_Pixel,Corrosion_Depth_Ratio,,Probability,Cumulative Prob
0,0,,0.000107377,0.000107377
1,0,,,0.000214754
2,0,,,0.00032213
3,0,,,0.000429507
4,0,,,0.000536884
5,0,,,0.000644261
6,0,,,0.000751637
7,0,,,0.000859014
8,0,,,0.000966391
9,0,,,0.001073768
10,0,,,0.001181145
11,0,,,0.001288521
12,0,,,0.001395898
13,0,,,0.001503275
14,0,,,0.001610652
15,0,,,0.001718029
16,0,,,0.001825405
17,0,,,0.001932782
18,0,,,0.002040159
19,0,,,0.002147536
20,0,,,0.002254912
21,0,,,0.002362289
22,0,,,0.002469666
23,0,,,0.002577043
24,0,,,0.00268442
25,0,,,0.002791796
26,0,,,0.002899173
27,0,,,0.00300655
28,0,,,0.003113927
29,0,,,0.003221304
30,0,,,0.00332868
31,0,,,0.003436057
32,0,,,0.003543434
33,0,,,0.003650811
34,0,,,0.003758187
35,0,,,0.003865564
36,0,,,0.003972941
37,0,,,0.004080318
38,0,,,0.004187695
39,0,,,0.004295071
40,0,,,0.004402448
41,0,,,0.004509825
42,0,,,0.004617202
43,0,,,0.004724579
44,0,,,0.004831955
45,0,,,0.004939332
46,0,,,0.005046709
47,0,,,0.005154086
48,0,,,0.005261462
49,0,,,0.005368839
50,0,,,0.005476216
51,0,,,0.005583593
52,0,,,0.00569097
53,0,,,0.005798346
54,0,,,0.005905723
55,0,,,0.0060131
56,0,,,0.006120477
57,0,,,0.006227854
58,0,,,0.00633523
59,0,,,0.006442607
60,0,,,0.006549984
61,0,,,0.006657361
62,0,,,0.006764737
63,0,,,0.006872114
64,0,,,0.006979491
65,0,,,0.007086868
66,0,,,0.007194245
67,0,,,0.007301621
68,0,,,0.007408998
69,0,,,0.007516375
70,0,,,0.007623752
71,0,,,0.007731129
72,0,,,0.007838505
73,0,,,0.007945882
74,0,,,0.008053259
75,0,,,0.008160636
76,0,,,0.008268012
77,0,,,0.008375389
78,0,,,0.008482766
79,0,,,0.008590143
80,0,,,0.00869752
81,0,,,0.008804896
82,0,,,0.008912273
83,0,,,0.00901965
84,0,,,0.009127027
85,0,,,0.009234404
86,0,,,0.00934178
87,0,,,0.009449157
88,0,,,0.009556534
89,0,,,0.009663911
90,0,,,0.009771287
91,0,,,0.009878664
92,0,,,0.009986041
93,0,,,0.010093418
94,0,,,0.010200795
95,0,,,0.010308171
96,0,,,0.010415548
97,0,,,0.010522925
98,0,,,0.010630302
99,0,,,0.010737679
100,0,,,0.010845055
101,0,,,0.010952432
102,0,,,0.011059809
103,0,,,0.011167186
104,0,,,0.011274562
105,0,,,0.011381939
106,0,,,0.011489316
107,0,,,0.011596693
108,0,,,0.01170407
109,0,,,0.011811446
110,0,,,0.011918823
111,0,,,0.0120262
112,0,,,0.012133577
113,0,,,0.012240954
114,0,,,0.01234833
115,0,,,0.012455707
116,0,,,0.012563084
117,0,,,0.012670461
118,0,,,0.012777837
119,0,,,0.012885214
120,0,,,0.012992591
121,0,,,0.013099968
122,0,,,0.013207345
123,0,,,0.013314721
124,0,,,0.013422098
125,0,,,0.013529475
126,0,,,0.013636852
127,0,,,0.013744228
128,0,,,0.013851605
129,0,,,0.013958982
130,0,,,0.014066359
131,0,,,0.014173736
132,0,,,0.014281112
133,0,,,0.014388489
134,0,,,0.014495866
135,0,,,0.014603243
136,0,,,0.01471062
137,0,,,0.014817996
138,0,,,0.014925373
139,0,,,0.01503275
140,0,,,0.015140127
141,0,,,0.015247503
142,0,,,0.01535488
143,0,,,0.015462257
144,0,,,0.015569634
145,0,,,0.015677011
146,0,,,0.015784387
147,0,,,0.015891764
148,0,,,0.015999141
149,0,,,0.016106518
150,0,,,0.016213895
151,0,,,0.016321271
152,0,,,0.016428648
153,0,,,0.016536025
154,0,,,0.016643402
155,0,,,0.016750778
156,0,,,0.016858155
157,0,,,0.016965532
158,0,,,0.017072909
159,0,,,0.017180286
160,0,,,0.017287662
161,0,,,0.017395039
162,0,,,0.017502416
163,0,,,0.017609793
164,0,,,0.01771717
165,0,,,0.017824546
166,0,,,0.017931923
167,0,,,0.0180393
168,0,,,0.018146677
169,0,,,0.018254053
170,0,,,0.01836143
171,0,,,0.018468807
172,0,,,0.018576184
173,0,,,0.018683561
174,0,,,0.018790937
175,0,,,0.018898314
176,0,,,0.019005691
177,0,,,0.019113068
178,0,,,0.019220445
179,0,,,0.019327821
180,0,,,0.019435198
181,0,,,0.019542575
182,0,,,0.019649952
183,0,,,0.019757328
184,0,,,0.019864705
185,0,,,0.019972082
186,0,,,0.020079459
187,0,,,0.020186836
188,0,,,0.020294212
189,0,,,0.020401589
190,0,,,0.020508966
191,0,,,0.020616343
192,0,,,0.02072372
193,0,,,0.020831096
194,0,,,0.020938473
195,0,,,0.02104585
196,0,,,0.021153227
197,0,,,0.021260603
198,0,,,0.02136798
199,0,,,0.021475357
200,0,,,0.021582734
201,0,,,0.021690111
202,0,,,0.021797487
203,0,,,0.021904864
204,0,,,0.022012241
205,0,,,0.022119618
206,0,,,0.022226995
207,0,,,0.022334371
208,0,,,0.022441748
209,0,,,0.022549125
210,0,,,0.022656502
211,0,,,0.022763878
212,0,,,0.022871255
213,0,,,0.022978632
214,0,,,0.023086009
215,0,,,0.023193386
216,0,,,0.023300762
217,0,,,0.023408139
218,0,,,0.023515516
219,0,,,0.023622893
220,0,,,0.02373027
221,0,,,0.023837646
222,0,,,0.023945023
223,0,,,0.0240524
224,0,,,0.024159777
225,0,,,0.024267153
226,0,,,0.02437453
227,0,,,0.024481907
228,0,,,0.024589284
229,0,,,0.024696661
230,0,,,0.024804037
231,0,,,0.024911414
232,0,,,0.025018791
233,0,,,0.025126168
234,0,,,0.025233545
235,0,,,0.025340921
236,0,,,0.025448298
237,0,,,0.025555675
238,0,,,0.025663052
239,0,,,0.025770428
240,0,,,0.025877805
241,0,,,0.025985182
242,0,,,0.026092559
243,0,,,0.026199936
244,0,,,0.026307312
245,0,,,0.026414689
246,0,,,0.026522066
247,0,,,0.026629443
248,0,,,0.026736819
249,0,,,0.026844196
250,0,,,0.026951573
251,0,,,0.02705895
252,0,,,0.027166327
253,0,,,0.027273703
254,0,,,0.02738108
255,0,,,0.027488457
256,0,,,0.027595834
257,0,,,0.027703211
258,0,,,0.027810587
259,0,,,0.027917964
260,0,,,0.028025341
261,0,,,0.028132718
262,0,,,0.028240094
263,0,,,0.028347471
264,0,,,0.028454848
265,0,,,0.028562225
266,0,,,0.028669602
267,0,,,0.028776978
268,0,,,0.028884355
