Distance (µm),Fe ,Cr ,Ni ,Mn,Pb 
0.011304391,86.2502,10.50617,1.236917,1.041555,0.96516
0.011587,89.62881,9.074179,0.012659,1.284348,0
0.01186961,91.38528,5.701464,1.494277,1.418978,0
0.01215222,93.14715,6.040642,0.558753,0.253456,0
0.01243483,89.68926,10.31074,0,0,0
0.012717439,88.82284,9.721802,0,0.142952,1.312412
0.013000049,88.36863,11.63137,0,0,0
0.013282659,92.62115,5.337172,0,2.04168,0
0.013565269,90.9806,7.080703,1.225685,0.71301,0
0.013847878,90.06354,7.653295,1.204965,1.078205,0
0.014130488,90.42989,8.77242,0,0.118182,0.679511
0.014413098,93.91217,6.087832,0,0,0
0.014695708,90.20428,8.549408,0,0,1.24631
0.014978318,86.33105,9.949941,1.587626,0.194267,1.937122
0.015260927,90.403,7.194776,0,2.402225,0
0.015543537,89.43032,7.275818,2.11057,1.183289,0
0.015826147,91.37422,7.300589,0.557263,0.767927,0
0.016108757,94.01302,3.795543,0.818919,1.372514,0
0.016391366,92.62594,7.025232,0,0.348827,0
0.016673976,88.95032,4.891051,0.094049,0.52051,5.544072
0.016956586,92.08926,6.427769,0,1.057645,0.425325
0.017239196,91.1386,6.841199,0.642062,1.37814,0
0.017521805,90.06459,8.150223,0.763057,0,1.02213
0.017804415,92.57845,7.421546,0,0,0
0.018087025,92.78664,7.213366,0,0,0
0.018369635,92.87382,6.400019,0,0,0.72616
0.018652244,88.80861,11.19139,0,0,0
0.018934854,91.31565,5.705161,0,0,2.97919
0.019217464,91.41082,5.777276,0.995823,1.236497,0.579584
0.019500074,87.74626,7.597295,0.266546,4.389897,0
0.019782684,93.95581,5.989391,0,0,0.0548
0.020065293,89.46752,8.155309,0,0.65199,1.725182
0.020347903,88.18523,10.28477,0,0.745385,0.78462
0.020630513,91.72741,8.108967,0,0.163625,0
0.020913123,92.15318,7.468843,0,0.066609,0.311363
0.021195732,90.85802,7.365789,0,1.776194,0
0.021478342,90.01359,8.015649,0.474761,0,1.496005
0.021760952,88.76852,6.6781,0,0.20037,4.353007
0.022043562,92.55745,6.98463,0,0.457919,0
0.022326171,88.86684,9.443887,0,0.554606,1.134671
0.022608781,88.68228,10.32424,0,0.850285,0.143189
0.022891391,93.11551,5.712978,0,0.332583,0.838932
0.023174001,92.18642,6.724684,0.619513,0.110038,0.359342
0.02345661,85.79453,12.44305,1.158087,0.604328,0
0.02373922,86.82098,11.57284,0,0.62736,0.978813
0.02402183,88.43356,9.425488,0.70518,1.435776,0
0.02430444,90.68368,7.629052,0.693567,0.993703,0
0.02458705,95.50518,4.214067,0,0.109035,0.171717
0.024869659,93.14426,4.677968,0,2.177777,0
0.025152269,91.35377,7.799727,0.510257,0.336248,0
0.025434879,85.69061,10.1199,0.451346,2.805355,0.93279
0.025717489,88.2811,9.616846,0.352341,0.913965,0.835748
0.026000098,91.10405,6.566091,0.231164,0.777839,1.320856
0.026282708,88.13976,6.366549,1.014789,0.592976,3.885923
0.026565318,89.96059,6.840063,0,3.019734,0.17961
0.026847928,89.90249,8.328132,0,1.769383,0
0.027130537,92.00253,6.994153,0.193483,0.809837,0
0.027413147,90.90908,7.948272,0,1.142649,0
0.027695757,91.96217,7.763263,0,0.274561,0
0.027978367,91.12441,6.587399,1.171407,0,1.116785
0.028260976,88.09634,9.884947,0.738794,1.27992,0
0.028543586,90.1092,8.793241,1.097564,0,0
0.028826196,90.09506,8.980194,0,0,0.924742
0.029108806,88.0814,7.938367,1.459368,1.970767,0.550098
0.029391416,92.65662,6.246367,0.833273,0.263743,0
0.029674025,91.92996,5.896989,0.538674,1.634373,0
0.029956635,92.21963,6.049122,0,0.339879,1.391373
0.030239245,89.46275,7.695978,1.216766,1.624509,0
0.030521855,85.48487,8.206449,2.500827,2.491912,1.315938
0.030804464,88.45578,8.434241,0,1.755871,1.35411
0.031087074,91.46564,7.188124,0.738006,0.608232,0
0.031369684,85.48936,12.75172,1.758924,0,0
0.031652294,86.20786,13.48873,0,0.09338,0.210027
0.031934903,91.36155,8.638454,0,0,0
0.032217513,92.78675,7.213252,0,0,0
0.032500123,89.45947,9.729877,0.810656,0,0
0.032782733,89.09579,8.689086,0.088065,0.811173,1.315887
0.033065342,93.38982,6.610174,0,0,0
0.033347952,90.37786,9.622138,0,0,0
0.033630562,95.0416,4.958407,0,0,0
0.033913172,90.70906,8.090887,0,0,1.20005
0.034195782,91.87564,6.399949,0,1.551939,0.172474
0.034478391,91.23631,6.655186,0.47714,0,1.63136
0.034761001,87.88187,11.36854,0.617172,0.132417,0
0.035043611,92.19597,7.023595,0.780438,0,0
0.035326221,89.26105,10.18931,0,0.549642,0
0.03560883,85.86593,7.660202,1.922984,0.362731,4.188156
0.03589144,90.21838,7.34696,1.049015,0.262373,1.12328
0.03617405,89.42988,7.535659,1.78164,1.01791,0.234915
0.03645666,91.15091,7.553775,0,1.295313,0
0.036739269,91.17441,6.711698,0,1.398154,0.715739
0.037021879,91.07446,8.220436,0.242393,0.462714,0
0.037304489,88.94523,6.461473,0.592796,2.342346,1.658156
0.037587099,87.10264,11.28193,0,0,1.615424
0.037869708,91.34914,6.788255,0,1.789151,0.073461
0.038152318,90.00298,7.982546,0,2.014469,0
0.038434928,92.01117,6.410287,0.977094,0.601451,0
0.038717538,93.45422,5.172505,0,0.219202,1.154067
0.039000148,88.21294,8.927326,0.647497,2.20227,0.009965
0.039282757,92.95968,6.826778,0,0.213541,0
0.039565367,88.01093,11.0097,0.653233,0,0.326138
0.039847977,88.6043,7.750704,0,1.993694,1.651304
0.040130587,87.59386,9.453062,1.726381,0.150227,1.076468
0.040413196,92.86292,6.935087,0,0,0.201989
0.040695806,88.45813,7.398843,1.384554,2.597617,0.160853
0.040978416,88.45113,7.585591,2.826141,1.137133,0
0.041261026,87.60542,8.223598,0.800083,0.997833,2.373073
0.041543635,87.37777,10.54638,0,0.64141,1.434436
0.041826245,91.48797,5.204704,0,2.478908,0.828423
0.042108855,91.65395,6.171362,0.143439,0,2.03125
0.042391465,88.32392,10.64802,1.028063,0,0
0.042674075,92.09877,6.442447,0.983742,0,0.47504
0.042956684,91.14993,7.849155,0,0.839048,0.16186
0.043239294,91.50208,6.463252,0.002762,1.224974,0.806937
0.043521904,94.15401,4.555387,0,0,1.290606
0.043804514,87.27602,10.99128,0,1.732689,0
0.044087123,93.65186,5.326588,0,0.276295,0.745258
0.044369733,88.3602,10.73518,0.904624,0,0
0.044652343,91.88519,5.449147,0,1.33384,1.331829
0.044934953,92.72071,7.279286,0,0,0
0.045217562,90.82879,7.52569,0.086529,1.558991,0
0.045500172,90.70791,7.880447,1.411645,0,0
0.045782782,88.20975,9.872157,0.124622,0.188453,1.605012
0.046065392,92.53688,7.019421,0,0.4437,0
0.046348001,86.80371,9.731668,0,1.518382,1.946238
0.046630611,94.54693,5.113115,0,0.339954,0
0.046913221,91.41051,8.58949,0,0,0
0.047195831,92.34335,6.05269,0,0.987605,0.616358
0.047478441,88.43217,11.56783,0,0,0
0.04776105,92.3123,7.262763,0,0.424932,0
0.04804366,89.75237,6.726769,2.144629,1.376226,0
0.04832627,91.00523,7.741492,1.063748,0,0.189532
0.04860888,91.77076,6.218745,1.270866,0,0.739632
0.048891489,90.74782,9.252178,0,0,0
0.049174099,88.60906,8.110614,2.745523,0.534803,0
0.049456709,91.61379,8.386204,0,0,0
0.049739319,89.45345,8.777577,0,1.327348,0.441627
0.050021928,92.17197,7.819322,0.008707,0,0
0.050304538,92.05093,6.293814,0,1.655252,0
